Name,Country,Position,Age,Overall_Rating,Future Potential,Team,Value Per M$,Total_Stats Score
Agostinho Mabululu,Angola,LW,30,68,68,Ittihad Alexandria,0.65,1660
Mahmoud Gennesh,Egypt,GK,35,67,67,Ittihad Alexandria,0.35,1620
Sobhi Suleiman,Egypt,GK,28,63,65,Ittihad Alexandria,0.2,1480
Mahmoud Alaa,Egypt,CB,32,68,68,Ittihad Alexandria,0.5,1695
Mahmoud Shabana,Egypt,CB,30,66,66,Ittihad Alexandria,0.4,1640
Abdel Rahman Boudi,Egypt,RB,27,65,67,Ittihad Alexandria,0.45,1610
Karim El Deeb,Egypt,CM,33,67,67,Ittihad Alexandria,0.3,1680
Mohamed Tony,Egypt,CDM,29,66,67,Ittihad Alexandria,0.38,1655
Nour Alaa El Din,Egypt,CAM,24,64,70,Ittihad Alexandria,0.6,1590
Fady Farid,Egypt,ST,28,67,68,Ittihad Alexandria,0.55,1670
John Ibuka,Nigeria,ST,26,65,68,Ittihad Alexandria,0.7,1635
Pape Matar Sarr,Senegal,CM,19,71,81,Tottenham Hotspur,4,1865
Manuel Ugarte,Uruguay,CM,21,79,85,Sporting CP,26,1950
Mykhailo Mudryk,Ukraine,LW,21,75,85,Chelsea,12.5,1836
Israel Reyes,Mexico,CDM,22,75,83,Mexico,0,2087
Lewis Hall,England,LB,17,61,79,Chelsea,0.825,1710
Julio César Enciso,Paraguay,CAM,18,65,83,Brighton & Hove Albion,1.8,1589
Randal Kolo Muani,France,RM,23,82,86,Eintracht Frankfurt,44,1989
Arthur Vermeeren,Belgium,CM,17,70,87,Antwerp,3.8,1765
Andrés Iniesta Luján,Spain,CM,37,79,79,Vissel Kobe,5.5,1918
Georges Mikautadze,Georgia,CAM,21,71,81,Metz,4.2,1862
Carney Chukwuemeka,England,CF,18,64,84,Chelsea,1.6,1687
Nicolas Jackson,Senegal,LM,21,73,82,Villarreal,7,1787
Rico Lewis,England,RB,17,70,87,Manchester City,3.8,1724
Noni Madueke,England,RM,20,77,86,Chelsea,23,1896
Dominik Szoboszlai,Hungary,LM,21,81,87,RB Leipzig,41.5,2024
Mason Mount,England,CM,23,82,85,Chelsea,41.5,2109
Enzo Fernández,Argentina,CDM,21,81,88,Chelsea,52,2177
Sacha Boey,France,RB,21,78,83,Galatasaray,20,1966
Robert Ergas,Uruguay,LM,24,66,72,Cerro Largo,1.3,1658
Julián Álvarez,Argentina,RW,22,79,86,Manchester City,36,2129
Loïs Openda,Belgium,ST,22,78,85,Lens,29,1940
Evan Ferguson,Republic of Ireland,CF,17,69,85,Brighton & Hove Albion,3.5,1623
Tommaso Baldanzi,Italy,CF,19,75,89,Empoli,13.5,1842
Moisés Caicedo,Ecuador,CM,20,78,85,Brighton & Hove Albion,26,2007
Khvicha Kvaratskhelia,Georgia,CAM,21,81,90,Napoli,58,1988
Warren Zaïre-Emery,France,CDM,16,71,88,Paris Saint Germain,4.7,1903
Santiago Giménez,Mexico,ST,21,77,85,Feyenoord,24,1991
Alberto Moleiro González,Spain,CAM,18,76,88,Las Palmas,17.5,1859
Kai Havertz,Germany,ST,23,83,89,Chelsea,57.5,2051
Carlos Henrique Venancio Casimiro,Brazil,CDM,30,89,89,Manchester United,86,2251
Youssoufa Moukoko,Germany,ST,17,76,89,Borussia Dortmund,17,1833
Xavi Simons,Netherlands,LW,19,78,88,PSV,30.5,2049
Karim Adeyemi,Germany,ST,20,78,87,Borussia Dortmund,31,1928
Rasmus Højlund,Denmark,ST,19,73,86,Atalanta,7.5,1738
Alex Scott,England,CAM,18,71,84,Bristol City,4.3,1923
Thiago Almada,Argentina,CF,21,77,87,Atlanta United,23.5,2030
Anthony Martial,France,ST,26,80,81,Manchester United,25,1960
Khéphren Thuram,France,CDM,21,79,85,Nice,28,2114
Arda Güler,Turkey,RW,17,73,86,Fenerbahçe,7,1902
Alejandro Garnacho Ferreyra,Argentina,LM,18,70,86,Manchester United,4,1700
Declan Rice,England,CM,23,84,87,West Ham United,52,2089
Diego Lainez,Mexico,CAM,22,74,82,Mexico,0,1861
Victor Osimhen,Nigeria,ST,23,85,90,Napoli,82.5,2025
Georginio Rutter,France,RW,20,74,84,Leeds United,9.5,1747
Gonçalo Bernardo Inácio,Portugal,CB,20,79,88,Sporting CP,36,1773
Romeo Lavia,Belgium,CDM,18,70,85,Southampton,3.5,1770
António João Tavares Silva,Portugal,CB,18,77,88,Benfica,20.5,1710
Marcus Edwards,England,ST,23,80,85,Sporting CP,32,1863
Alexis Mac Allister,Argentina,CDM,23,80,84,Brighton & Hove Albion,30,2160
Gonçalo Matias Ramos,Portugal,ST,21,80,87,Benfica,43,1997
Giorgio Scalvini,Italy,CB,18,73,86,Atalanta,6.5,1551
Simone Pafundi,Italy,RM,16,67,86,Udinese,2.5,1822
Marcus Rashford,England,ST,24,85,88,Manchester United,73.5,2134
Francisco José García Torres,Spain,LB,22,76,85,Rayo Vallecano,16,1910
Alejandro Balde Martínez,Spain,LM,18,77,87,FC Barcelona,21,1831
Wout Weghorst,Netherlands,ST,29,78,78,Manchester United,14,1899
Erling Haaland,Norway,ST,21,90,94,Manchester City,176.5,2144
Darwin Núñez,Uruguay,LW,23,82,89,Liverpool,61.5,2094
Antony Matheus dos Santos,Brazil,RM,22,81,87,Manchester United,41.5,2046
Arnau Martínez López,Spain,RWB,19,76,85,Girona,15.5,1885
Jude Bellingham,England,CM,19,85,91,Borussia Dortmund,81.5,2198
Jadon Sancho,England,LM,22,82,86,Manchester United,44.5,1884
Gavin Bazunu,Republic of Ireland,GK,20,71,85,Southampton,4,1147
Kaoru Mitoma,Japan,LM,25,79,82,Brighton & Hove Albion,23,2011
Julien Duranville,Belgium,RM,16,64,86,Borussia Dortmund,1.8,1604
Daichi Kamada,Japan,CF,25,81,83,Eintracht Frankfurt,32.5,2048
Lutsharel Geertruida,Netherlands,CDM,21,79,86,Feyenoord,34,1960
Joško Gvardiol,Croatia,LB,20,82,89,RB Leipzig,56,2044
Conor Gallagher,England,CM,22,78,85,Chelsea,28.5,2050
João Félix Sequeira,Portugal,ST,22,83,89,Chelsea,59,2101
Folarin Balogun,England,ST,20,75,84,Stade de Reims ,12.5,1738
Nicolò Fagioli,Italy,CAM,21,75,87,Juventus,13,2033
Kang In Lee,Korea Republic,CAM,21,76,83,Mallorca,15,1885
Dušan Vlahović,Serbia,ST,22,84,91,Juventus,86.5,1961
Adam Hložek,Czech Republic,LM,19,76,86,Bayer 04 Leverkusen,16.5,1925
Armel Bella Kotchap,Germany,CB,20,74,83,Southampton,8.5,1579
Rayan Cherki,France,RW,18,74,87,Olympique Lyonnais,10,1730
Alfie Devine,England,LW,17,61,84,Tottenham Hotspur,1,1653
C. Ronaldo dos Santos Aveiro,Portugal,ST,37,87,87,Al Nassr,27,2101
Christopher Nkunku,France,ST,24,86,89,RB Leipzig,94,2172
Min Jae Kim,Korea Republic,CB,25,80,84,Napoli,26.5,1780
Takefusa Kubo,Japan,CAM,21,76,84,Real Sociedad,17,1956
Armando Broja,Albania,ST,20,75,83,Chelsea,12.5,1739
Facundo Farías,Argentina,CF,19,75,85,Colón,12,1943
Wilfried Gnonto,Italy,ST,18,74,86,Leeds United,10,1800
Destiny Udogie,Italy,LM,19,76,89,Udinese,17,1977
Iván Fresneda Corraliza,Spain,RB,17,69,85,Real Valladolid,3.3,1705
Lionel Messi,Argentina,RW,35,91,91,Paris Saint Germain,54,2190
Harry Kane,England,ST,28,89,89,Tottenham Hotspur,105.5,2197
Jules Koundé,France,CB,23,84,89,FC Barcelona,59.5,1947
Martín Zubimendi Ibáñez,Spain,CM,23,79,85,Real Sociedad,25.5,2023
Brennan Johnson,Wales,ST,21,75,85,Nottingham Forest,12.5,1837
Kylian Mbappé,France,LW,23,91,95,Paris Saint Germain,190.5,2181
Ryan Gravenberch,Netherlands,CM,20,79,88,FC Bayern München,38.5,2100
Bukayo Saka,England,RM,20,85,90,Arsenal,80,2173
Wesley Fofana,France,CB,21,79,86,Chelsea,33,1773
Jeremie Frimpong,Netherlands,RM,21,82,88,Bayer 04 Leverkusen,46,2054
Roger Fernandes,Portugal,RM,16,63,86,Sporting Braga,1.5,1573
Fikayo Tomori,England,CB,24,84,88,Milan,54.5,1875
Vinícius José de Oliveira Júnior,Brazil,LW,21,86,92,Real Madrid,109,1987
Piero Hincapié,Ecuador,LB,20,79,86,Bayer 04 Leverkusen,32,1864
Carlos Alcaraz,Argentina,LM,19,72,84,Southampton,5.5,1915
Fabiano Parisi,Italy,LB,21,75,85,Empoli,12,2007
Yeremy Jesús Pino Santos,Spain,ST,19,79,87,Villarreal,38,1827
David Datro Fofana,Côte d'Ivoire,ST,19,68,83,Chelsea,2.9,1686
Andreas Schjelderup,Norway,CAM,18,71,86,Benfica,4.4,1753
Pablo Martín Páez Gavira,Spain,LW,17,80,89,FC Barcelona,43.5,2042
Jamie Bynoe-Gittens,England,LM,17,70,87,Borussia Dortmund,4,1636
Lautaro Martínez,Argentina,ST,24,85,88,Inter,74.5,2159
Bruno Guimarães Moura,Brazil,CDM,24,84,87,Newcastle United,57,2201
Eduardo Camavinga,France,LB,19,81,89,Real Madrid,52.5,2142
Norberto Gomes Betuncal,Portugal,ST,24,80,84,Udinese,30.5,1832
Elye Wahi,France,LM,19,75,85,Montpellier,12,1851
Benjamin Šeško,Slovenia,ST,19,74,85,Salzburg,9,1859
Dejan Kulusevski,Sweden,RW,22,81,86,Tottenham Hotspur,39.5,2092
Kouadio Manu Koné,France,CM,21,77,86,Borussia Mönchengladbach,23.5,2042
Anssumane Fati,Spain,ST,19,79,89,FC Barcelona,38,1913
Florian Wirtz,Germany,CM,19,83,91,Bayer 04 Leverkusen,78.5,2020
Ronnie Edwards,England,CB,19,68,80,Peterborough United,2.7,1565
Neymar da Silva Santos Jr.,Brazil,LW,30,89,89,Paris Saint Germain,99.5,2157
Martin Ødegaard,Norway,CM,23,86,89,Arsenal,93,2136
Reece James,England,RB,22,84,88,Chelsea,57,2251
Rafael da Conceição Leão,Portugal,ST,23,84,90,Milan,66.5,1978
Adrien Rabiot,France,LM,27,82,82,Juventus,32,2220
Adama Traoré Diarra,Spain,ST,26,77,77,Wolverhampton Wanderers,11.5,1919
James Maddison,England,CAM,25,84,85,Leicester City,50.5,2127
Theo Hernández,France,LM,24,85,90,Milan,76,2195
Pedro António Pereira Gonçalves,Portugal,CM,24,82,87,Sporting CP,46,2106
Jonathan David,Canada,ST,22,81,85,Lille,38,1957
Kevin Álvarez,Mexico,RB,23,75,79,Mexico,0,1872
Fabricio Díaz,Uruguay,CDM,19,72,83,Liverpool,5,1957
Alan Varela,Argentina,CM,20,76,85,Boca Juniors,15.5,1970
Martin Baturina,Croatia,CAM,19,73,86,Dinamo Zagreb,7,1954
Valentín Barco,Argentina,LB,17,65,83,Boca Juniors,1.7,1714
Bashir Humphreys,England,CB,19,63,78,Paderborn,1.1,1509
Gift Emmanuel Orban,Nigeria,ST,19,70,81,Gent,3.5,1731
Raphaël Guerreiro,Portugal,CM,28,83,83,Borussia Dortmund,33,2176
Joshua Kimmich,Germany,CM,27,89,90,FC Bayern München,105.5,2292
Luis Chávez,Mexico,CDM,26,79,80,Mexico,0,2104
Christian Pulisic,United States,LM,23,80,84,Chelsea,30,1933
Evan Ndicka,France,CB,22,79,85,Eintracht Frankfurt,25.5,1944
Pedro Antonio Porro Sauceda,Spain,RM,22,82,88,Tottenham Hotspur,46,2157
Mohammed Kudus,Ghana,RW,21,78,86,Ajax,31.5,2051
Harvey Elliott,England,RW,19,77,87,Liverpool,23,1819
Gonzalo Plata,Ecuador,RW,21,77,86,Real Valladolid,23.5,1925
Milos Kerkez,Hungary,LB,18,74,84,AZ Alkmaar,8.5,1906
Francisco F. da Conceição,Portugal,RW,19,74,86,Ajax,10,1715
Noah Mbamba,Belgium,CB,17,64,84,Bayer 04 Leverkusen,1.5,1591
Désiré Doué,France,RW,17,70,86,Rennes,4,1699
Wilfried Zaha,Côte d'Ivoire,LM,29,82,82,Crystal Palace,30,2002
Edson Álvarez,Mexico,CB,24,80,84,Ajax,27.5,1975
Juan Foyth,Argentina,CDM,24,79,84,Villarreal,24.5,1929
Federico Valverde,Uruguay,RW,23,86,91,Real Madrid,102,2249
Marc Guéhi,England,CB,21,78,86,Crystal Palace,29.5,1760
Orkun Kökçü,Turkey,CAM,21,81,86,Feyenoord,39.5,2152
Gabriel Teodoro Martinelli Silva,Brazil,LM,21,82,88,Arsenal,49,2008
Pedro González López,Spain,CM,19,85,92,FC Barcelona,104.5,2119
Alan Velasco,Argentina,CAM,19,75,84,Dallas,12,1954
Levi Colwill,England,CB,19,71,84,Brighton & Hove Albion,4.2,1712
Fabio Chiarodia,Italy,CB,17,61,83,Werder Bremen,0.975,1487
Jakub Kiwior,Poland,CDM,22,72,81,Arsenal,4.9,1696
Samuel Iling-Junior,England,LW,18,69,85,Juventus,3.5,1697
N'Golo Kanté,France,CM,31,88,88,Chelsea,64,2141
Benjamin Pavard,France,RB,26,82,84,FC Bayern München,33.5,2085
Alexander Isak,Sweden,ST,22,81,85,Newcastle United,38,1970
Diogo Meireles Costa,Portugal,GK,22,82,87,Porto,37.5,1243
Achraf Hakimi,Morocco,RWB,23,84,87,Paris Saint Germain,53.5,2229
Moise Kean,Italy,LW,22,78,86,Juventus,32,1900
Boubacar Kamara,France,CM,22,80,86,Aston Villa,31,1973
Phil Foden,England,RW,22,84,90,Manchester City,67.5,2084
Kevin Danso,Austria,CB,23,78,84,Lens,20,1731
Mohamed Simakan,France,RB,22,79,86,RB Leipzig,33,1846
Samuel Chukwueze,Nigeria,RW,23,79,85,Villarreal,27.5,1898
Dávid Hancko,Slovakia,LB,24,80,84,Feyenoord,27,2082
Nicolò Rovella,Italy,CDM,20,77,86,Monza,23,2086
Vítor Machado Ferreira,Portugal,CM,22,80,86,Paris Saint Germain,33.5,2061
Giorgi Mamardashvili,Georgia,GK,21,79,85,Valencia,23,1095
Pablo Torre Carral,Spain,LM,19,69,86,FC Barcelona,3.6,1777
Raheem Sterling,England,ST,27,85,85,Chelsea,57.5,2084
Lucas Hernández,France,LB,26,84,85,FC Bayern München,43.5,2005
Henry Martín,Mexico,ST,29,79,79,Mexico,0,1955
Marcus Thuram,France,ST,24,80,84,Borussia Mönchengladbach,30.5,1997
Trent Alexander-Arnold,England,RB,23,85,88,Liverpool,68,2221
Ousmane Dembélé,France,LW,25,84,87,FC Barcelona,56,2011
Florentino Morris Luís,Portugal,CM,22,79,85,Benfica,26,1822
Lisandro Martínez,Argentina,CB,24,83,88,Manchester United,49.5,2173
Nico Schlotterbeck,Germany,CB,22,82,87,Borussia Dortmund,42.5,1991
Ian Maatsen,Netherlands,LWB,20,74,85,Burnley,9,1942
Charles De Ketelaere,Belgium,ST,21,77,86,Milan,23.5,2054
Nicholas Williams Arthuer,Spain,LM,19,78,86,Athletic Club,30.5,1920
Luka Sučić,Croatia,CM,19,74,85,Salzburg,9,1933
Dane Scarlett,England,ST,18,63,78,Portsmouth,1.1,1588
Romelu Lukaku,Belgium,ST,29,84,84,Inter,42,2022
Antoine Griezmann,France,LM,31,86,86,Atlético Madrid,57.5,2295
Leandro Trossard,Belgium,ST,27,80,80,Arsenal,22.5,1977
Walace Souza Silva,Brazil,CM,27,76,77,Udinese,7.5,1945
Vedat Muriqi,Kosovo,ST,28,78,78,Mallorca,14.5,1764
Aaron Wan-Bissaka,England,RB,24,79,82,Manchester United,22,1911
Cristian Romero,Argentina,CB,24,83,88,Tottenham Hotspur,49.5,1884
Robin Le Normand,France,CB,25,82,87,Real Sociedad,40.5,1662
Federico Chiesa,Italy,RW,24,84,87,Juventus,57.5,2078
Alessandro Bastoni,Italy,CB,23,84,89,Inter,57.5,1909
Tyrell Malacia,Netherlands,LB,22,79,83,Manchester United,24,2021
Rúben Santos Gato Alves Dias,Portugal,CB,25,88,91,Manchester City,107.5,1888
Éder Gabriel Militão,Brazil,CB,24,85,89,Real Madrid,69.5,2051
Ricard Puig Martí,Spain,CAM,22,75,83,LA Galaxy,12.5,1878
Jean-Clair Todibo,France,CB,22,79,84,Nice,24.5,1852
Bryan Gil Salvatierra,Spain,CAM,21,77,83,Sevilla,17,1757
Ali Al Musrati,Libya,CM,26,81,84,Sporting Braga,30.5,1953
Ronald Araujo,Uruguay,RB,23,83,89,FC Barcelona,52,1910
Facundo Pellistri,Uruguay,RM,20,71,82,Manchester United,4.1,1762
Fábio Leandro Carvalho,Portugal,LM,19,74,86,Liverpool,10,1802
Amadou Onana,Belgium,CM,20,75,85,Everton,11.5,1904
Malo Gusto,France,RB,19,76,85,Olympique Lyonnais,15.5,1923
Antonio Nusa,Norway,LM,17,66,86,Club Brugge,2.3,1680
Johan Bakayoko,Belgium,RW,19,70,86,PSV,4.1,1689
Facundo Buonanotte,Argentina,CM,17,68,83,Brighton & Hove Albion,2.8,1603
Robert Lewandowski,Poland,ST,33,91,91,FC Barcelona,84,2205
Christian Eriksen,Denmark,CDM,30,83,83,Manchester United,34.5,2024
Harry Maguire,England,CB,29,80,80,Manchester United,17.5,1900
Alejandro Grimaldo García,Spain,LB,26,83,84,Benfica,39,2213
Marco Asensio Willemsen,Spain,RW,26,83,83,Real Madrid,39.5,2040
Victor Lindelöf,Sweden,CB,27,79,80,Manchester United,17.5,1938
Frenkie de Jong,Netherlands,CM,25,87,90,FC Barcelona,104.5,2238
Tammy Abraham,England,ST,24,81,85,Roma,37.5,1920
Eberechi Eze,England,LM,24,77,82,Crystal Palace,16,1952
Emile Smith Rowe,England,CAM,21,79,86,Arsenal,35.5,1837
Moussa Diaby,France,CF,22,84,88,Bayer 04 Leverkusen,61.5,1959
Tariq Lamptey,Ghana,RWB,21,75,82,Brighton & Hove Albion,11,1829
Cody Gakpo,Netherlands,LW,23,83,88,Liverpool,55.5,2065
Rodrygo Silva de Goes,Brazil,ST,21,83,89,Real Madrid,58.5,2003
Eric García Martret,Spain,CB,21,76,83,FC Barcelona,14,1814
Michael Olise,France,RM,20,78,84,Crystal Palace,22,1958
Brian Brobbey,Netherlands,ST,20,76,83,Ajax,15,1800
Alan Soñora,United States,CDM,23,73,78,United States,0,2003
Jan Paul van Hecke,Netherlands,CB,22,71,78,Brighton & Hove Albion,3.5,1705
Björn Meijer,Netherlands,LWB,19,72,86,Club Brugge,5.5,1921
Tom Bischof,Germany,CAM,17,65,86,TSG Hoffenheim,2.2,1651
Eden Hazard,Belgium,LW,31,82,82,Real Madrid,25,2022
Ángel Di María,Argentina,RM,34,84,84,Juventus,20.5,2160
Luke Shaw,England,CB,26,82,83,Manchester United,33,2158
Ismaël Bennacer,Algeria,CM,24,83,87,Milan,47.5,2231
João Maria Palhinha Gonçalves,Portugal,CM,26,82,84,Fulham,34,2058
Noussair Mazraoui,Morocco,LB,24,82,85,FC Bayern München,38.5,2093
Pervis Estupiñán,Ecuador,LB,24,79,83,Brighton & Hove Albion,23.5,1912
Noa Lang,Netherlands,ST,23,78,85,Club Brugge,28,2029
Oliver Skipp,England,CM,21,77,83,Tottenham Hotspur,15.5,1845
Dominik Livaković,Croatia,GK,27,81,84,Dinamo Zagreb,25.5,1334
William Saliba,France,CB,21,83,89,Arsenal,53,1888
Oihan Sancet Tirapu,Spain,ST,22,80,86,Athletic Club,34,2065
Jurriën Timber,Netherlands,RB,21,79,87,Ajax,37,1943
Sven Botman,Netherlands,CB,22,83,88,Newcastle United,50.5,1795
Matías Arezo,Uruguay,ST,19,72,82,Peñarol,5,1834
